"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"devtools","devtools","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","2.4.2",NA,"R (>= 3.0.2), usethis (>= 2.0.1)","callr (>= 3.6.0), cli (>= 2.4.0), desc (>= 1.3.0), ellipsis
(>= 0.3.1), fs (>= 1.5.0), httr (>= 1.4.2), lifecycle (>=
1.0.0), memoise (>= 2.0.0), pkgbuild (>= 1.2.0), pkgload (>=
1.2.1), rcmdcheck (>= 1.3.3), remotes (>= 2.3.0), rlang (>=
0.4.10), roxygen2 (>= 7.1.1), rstudioapi (>= 0.13), rversions
(>= 2.0.2), sessioninfo (>= 1.1.1), stats, testthat (>= 3.0.2),
tools, utils, withr (>= 2.4.1)",NA,"BiocManager (>= 1.30.12), covr (>= 3.5.1), curl (>= 4.3),
digest (>= 0.6.27), DT (>= 0.17), foghorn (>= 1.3.2), gh (>=
1.2.1), gmailr (>= 1.0.0), knitr (>= 1.31), lintr (>= 2.0.1),
MASS, mockery (>= 0.4.2), pingr (>= 2.0.1), pkgdown (>= 1.6.1),
rhub (>= 1.1.1), rmarkdown (>= 2.7), spelling (>= 2.2)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"dfidx","dfidx","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","0.0-4",NA,"R (>= 2.10)","dplyr, Formula",NA,"knitr, rmarkdown, AER, mlogit, plm",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"dials","dials","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","0.0.9",NA,"scales, R (>= 2.10)","glue, purrr, tibble, rlang, utils, withr, DiceDesign, dplyr
(>= 0.8.5), vctrs (>= 0.3.0.9000)",NA,"testthat, knitr, rpart, covr, kernlab, xml2, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"DiceDesign","DiceDesign","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.9",NA,"R (>= 2.10)",NA,NA,"rgl, randtoolbox, lattice",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"DiceKriging","DiceKriging","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.6.0",NA,"methods",NA,NA,"rgenoud (>= 5.8-2.0), foreach, doParallel, testthat, numDeriv",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"diffobj","diffobj","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","0.3.4",NA,"R (>= 3.1.0)","crayon (>= 1.3.2), tools, methods, utils, stats",NA,"knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"digest","digest","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","0.6.27",NA,"R (>= 3.3.0)","utils",NA,"tinytest, knitr, rmarkdown, minidown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"directlabels","directlabels","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","2021.1.13",NA,NA,"grid, quadprog",NA,"MASS, knitr, markdown, inlinedocs, RColorBrewer, ggplot2 (>=
2.0), rlang, lattice, alphahull, nlme, lars, latticeExtra,
dplyr, ggthemes, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"distributional","distributional","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","0.2.2",NA,NA,"vctrs (>= 0.3.0), rlang (>= 0.4.5), generics, ellipsis, stats,
numDeriv, ggplot2, scales, farver, digest, utils, lifecycle",NA,"testthat (>= 2.1.0), covr, mvtnorm, actuar, ggdist",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"doParallel","doParallel","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.0.16",NA,"R (>= 2.14.0), foreach(>= 1.2.0), iterators(>= 1.0.0),
parallel, utils",NA,NA,"caret, mlbench, rpart, RUnit","compiler","GPL-2",NA,NA,NA,NA,"no","4.1.0"
"DoseFinding","DoseFinding","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.0-1",NA,"lattice, mvtnorm, R (>= 2.15.0)",NA,NA,"numDeriv, Rsolnp, quadprog, parallel, multcomp, ggplot2,
knitr, rmarkdown, MASS, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"dotCall64","dotCall64","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.0-1",NA,"R (>= 3.1)",NA,NA,"microbenchmark, OpenMPController, RColorBrewer, roxygen2,
spam, testthat,",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"dparser","dparser","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.3.1-4",NA,"R (>= 3.3)","digest, methods",NA,"rex, covr, testthat, knitr, devtools,",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"dplyr","dplyr","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.0.7",NA,"R (>= 3.3.0)","ellipsis, generics, glue (>= 1.3.2), lifecycle (>= 1.0.0),
magrittr (>= 1.5), methods, R6, rlang (>= 0.4.10), tibble (>=
2.1.3), tidyselect (>= 1.1.0), utils, vctrs (>= 0.3.5), pillar
(>= 1.5.1)",NA,"bench, broom, callr, covr, DBI, dbplyr (>= 1.4.3), knitr,
Lahman, lobstr, microbenchmark, nycflights13, purrr, rmarkdown,
RMySQL, RPostgreSQL, RSQLite, testthat (>= 3.0.2), tidyr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"DT","DT","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","0.18",NA,NA,"htmltools (>= 0.3.6), htmlwidgets (>= 1.3), jsonlite (>=
0.9.16), magrittr, crosstalk, promises",NA,"knitr (>= 1.8), rmarkdown, shiny (>= 1.6), bslib, testit",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"dtplyr","dtplyr","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.1.0",NA,"R (>= 3.3)","crayon, data.table (>= 1.12.4), dplyr (>= 1.0.3), ellipsis,
glue, lifecycle, rlang, tibble, tidyselect, vctrs",NA,"bench, covr, knitr, rmarkdown, testthat (>= 3.0.0), tidyr (>=
1.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"dygraphs","dygraphs","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.1.1.6",NA,"R (>= 3.0)","magrittr, htmlwidgets (>= 0.6), htmltools (>= 0.3.5), zoo (>=
1.7-10), xts (>= 0.9-7)",NA,"testthat","rmarkdown (>= 0.3.3), shiny (>= 0.10.2.1)","MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"e1071","e1071","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.7-7",NA,NA,"graphics, grDevices, class, stats, methods, utils, proxy",NA,"cluster, mlbench, nnet, randomForest, rpart, SparseM, xtable,
Matrix, MASS, slam",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"earth","earth","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","5.3.1",NA,"R (>= 3.4.0), Formula (>= 1.2-3), plotmo (>= 3.6.0),
TeachingDemos (>= 2.10)",NA,NA,"gam (>= 1.20), mgcv (>= 1.8-26), mda (>= 0.5-2), MASS (>=
7.3-51)",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"ellipsis","ellipsis","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","0.3.2",NA,"R (>= 3.2)","rlang (>= 0.3.0)",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"emmeans","emmeans","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.6.2-1",NA,"R (>= 3.5.0)","estimability (>= 1.3), graphics, methods, numDeriv, stats,
utils, plyr, mvtnorm, xtable (>= 1.8-2)",NA,"bayesplot, bayestestR, biglm, brms, car, coda (>= 0.17),
ggplot2, lattice, logspline, mediation, mgcv, multcomp,
multcompView, nlme, ordinal (>= 2014.11-12), pbkrtest (>=
0.4-1), lme4, lmerTest (>= 2.0.32), MASS, MuMIn, rsm, knitr,
rmarkdown, scales, splines, testthat","CARBayes, coxme, gee, geepack, MCMCglmm, MCMCpack, mice,
nnet, pscl, rstanarm, sommer, survival","GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.1.0"
"esquisse","esquisse","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.0.2",NA,NA,"datamods, rstudioapi, shiny (>= 1.1.0), htmltools, jsonlite,
shinyWidgets (>= 0.6.0), ggplot2 (>= 3.0.0), scales, rlang (>=
0.3.1), grDevices",NA,"officer, rvg, rio, testthat (>= 2.1.0), knitr, rmarkdown,
ggthemes, hrbrthemes",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"estimability","estimability","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.3",NA,"stats",NA,NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.1.0"
"evaluate","evaluate","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","0.14",NA,"R (>= 3.0.2)","methods",NA,"testthat, lattice, ggplot2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"evd","evd","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","2.3-3",NA,NA,"stats, grDevices, graphics",NA,"akima",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"Exact","Exact","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","2.1",NA,"R (>= 3.1.0)","graphics, stats, rootSolve",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"exactRankTests","exactRankTests","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","0.8-32",NA,"R (>= 2.4.0), stats, utils",NA,NA,"survival",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"expm","expm","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","0.999-6",NA,"Matrix","methods",NA,"RColorBrewer, sfsmisc, Rmpfr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"extrafont","extrafont","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","0.17",NA,"R (>= 2.15)","extrafontdb, grDevices, utils, Rttf2pt1",NA,"fontcm",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"extrafontdb","extrafontdb","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.0",NA,"R (>= 2.14)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"4.1.0"
"fansi","fansi","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","0.5.0",NA,"R (>= 3.1.0)","grDevices, utils",NA,"unitizer, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"farver","farver","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","2.1.0",NA,NA,NA,NA,"testthat (>= 2.1.0), covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"fastGHQuad","fastGHQuad","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.0",NA,"Rcpp (>= 0.11.0)",NA,"Rcpp",NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"fastICA","fastICA","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.2-2",NA,"R (>= 3.0.0)",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"fastmap","fastmap","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.1.0",NA,NA,NA,NA,"testthat (>= 2.1.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"fields","fields","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","12.5",NA,"R (>= 3.0), methods, spam, viridis","maps",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"flextable","flextable","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","0.6.7",NA,NA,"stats, utils, grDevices, graphics, officer (>= 0.3.19),
rmarkdown, knitr, htmltools, xml2, data.table (>= 1.13.0), uuid
(>= 0.1-4), gdtools (>= 0.1.6), rlang, base64enc",NA,"testthat (>= 2.1.0), xtable, webshot, magick, ggplot2,
scales, broom, mgcv, bookdown, equatags",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"forcats","forcats","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","0.5.1",NA,"R (>= 3.2)","ellipsis, magrittr, rlang, tibble",NA,"covr, dplyr, ggplot2, knitr, readr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"foreach","foreach","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.5.1",NA,"R (>= 2.5.0)","codetools, utils, iterators",NA,"randomForest, doMC, doParallel, testthat, knitr, rmarkdown",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"no","4.1.0"
"forestplot","forestplot","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.10.1",NA,"grid, magrittr, checkmate",NA,NA,"testthat, abind, knitr, rmarkdown, rmeta",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"formatR","formatR","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.11",NA,"R (>= 3.2.3)",NA,NA,"codetools, shiny, testit, rmarkdown, knitr",NA,"GPL",NA,NA,NA,NA,"no","4.1.0"
"Formula","Formula","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.2-4",NA,"R (>= 2.0.0), stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.1.0"
"formula.tools","formula.tools","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.7.1",NA,"R (>= 3.0.0)","operator.tools(>= 1.4.0), utils, methods",NA,"magrittr, testthat",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"fresh","fresh","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","0.2.0",NA,NA,"sass, htmltools, shiny, rstudioapi",NA,"shinyWidgets, shinydashboard, bs4Dash, knitr, rmarkdown,
testthat (>= 2.1.0), covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"fs","fs","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.5.0",NA,"R (>= 3.1)","methods",NA,"testthat, covr, pillar (>= 1.0.0), tibble (>= 1.1.0), crayon,
rmarkdown, knitr, withr, spelling, vctrs (>= 0.3.0)",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"furrr","furrr","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","0.2.3",NA,"future (>= 1.19.1), R (>= 3.2.0)","ellipsis, globals (>= 0.13.1), lifecycle (>= 1.0.0), purrr (>=
0.3.0), rlang (>= 0.3.0), vctrs (>= 0.3.2)",NA,"carrier, covr, dplyr (>= 0.7.4), knitr, listenv (>= 0.6.0),
magrittr, rmarkdown, testthat (>= 3.0.0), withr, tidyselect",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"future","future","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.21.0",NA,NA,"digest, globals (>= 0.13.1), listenv (>= 0.8.0), parallel,
parallelly (>= 1.21.0), tools, utils",NA,"RhpcBLASctl, R.rsp, markdown",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.1.0"
"gam","gam","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.20",NA,"R (>= 3.5.0),stats, splines, foreach",NA,NA,"akima, testthat",NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.0"
"gamm4","gamm4","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","0.2-6",NA,"R (>= 2.9.0), methods, Matrix, lme4 (>= 1.0), mgcv (>= 1.7-23)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"gargle","gargle","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.2.0",NA,"R (>= 3.3)","cli (>= 3.0.0), fs (>= 1.3.1), glue (>= 1.3.0), httr (>=
1.4.0), jsonlite, rappdirs, rlang (>= 0.4.9), rstudioapi,
stats, utils, withr",NA,"aws.ec2metadata, aws.signature, covr, httpuv, knitr, mockr,
rmarkdown, sodium, spelling, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"gdata","gdata","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","2.18.0",NA,"R (>= 2.3.0)","gtools, stats, methods, utils",NA,"RUnit",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"gdtools","gdtools","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","0.2.3",NA,NA,"Rcpp (>= 0.12.12), systemfonts (>= 0.1.1)","Rcpp","htmltools, testthat, fontquiver (>= 0.2.0), curl",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"geigen","geigen","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","2.3",NA,"R (>= 3.5.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"gemtc","gemtc","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.0-1",NA,"coda (>= 0.13)","igraph (>= 1.0), meta (>= 2.1), plyr (>= 1.8), graphics,
grDevices, stats, utils, grid, rjags (>= 4-0), truncnorm,
Rglpk, forcats (>= 0.5.0)",NA,"testthat (>= 0.8), Matrix",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"generics","generics","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","0.1.0",NA,"R (>= 3.1)","methods",NA,"covr, pkgload, testthat, tibble",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"gert","gert","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.3.1",NA,NA,"askpass, credentials (>= 1.2.1), openssl (>= 1.4.1),
rstudioapi (>= 0.11), sys, zip (>= 2.1.0)",NA,"spelling, knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"GGally","GGally","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","2.1.2",NA,"R (>= 3.1), ggplot2 (>= 3.3.4)","dplyr (>= 1.0.0), forcats, grDevices, grid, gtable (>= 0.2.0),
lifecycle, plyr (>= 1.8.3), progress, RColorBrewer, reshape (>=
0.8.5), rlang, scales (>= 1.1.0), tidyr, utils",NA,"broom (>= 0.7.0), broom.helpers (>= 1.1.0), chemometrics,
geosphere (>= 1.5-1), ggforce, Hmisc, igraph (>= 1.0.1),
intergraph (>= 2.0-2), labelled, maps (>= 3.1.0), mapproj,
nnet, network (>= 1.17.1), scagnostics, sna (>= 2.3-2),
survival, rmarkdown, roxygen2, testthat, crosstalk, knitr,
spelling, emmeans",NA,"GPL (>= 2.0)",NA,NA,NA,NA,"no","4.1.0"
"ggdist","ggdist","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","3.0.0",NA,"R (>= 3.5.0)","tidyselect, dplyr (>= 1.0.0), ggplot2 (>= 3.3.5), rlang (>=
0.3.0), scales, grid, HDInterval, tibble, vctrs, withr,
distributional (>= 0.2.0)",NA,"knitr, testthat, vdiffr (>= 1.0.0), svglite, broom (>=
0.5.6), modelr, cowplot, covr, gdtools, rmarkdown, png, fda,
forcats, purrr (>= 0.2.3), tidyr (>= 1.0.0), beeswarm (>=
0.4.0), posterior, pkgdown",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.1.0"
"ggExtra","ggExtra","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","0.9",NA,"R (>= 3.1.0)","colourpicker (>= 1.0), ggplot2 (>= 2.2.0), grDevices, grid (>=
3.1.3), gtable (>= 0.2.0), miniUI (>= 0.1.1), scales (>=
0.2.0), shiny (>= 0.13.0), shinyjs (>= 0.5.2), utils, R6",NA,"knitr (>= 1.7), rmarkdown, rstudioapi (>= 0.5), testthat,
vdiffr, fontquiver, svglite, withr, devtools",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"ggforce","ggforce","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","0.3.3",NA,"ggplot2 (>= 3.0.0), R (>= 3.3.0)","Rcpp (>= 0.12.2), grid, scales, MASS, tweenr (>= 0.1.5),
gtable, rlang, polyclip, stats, grDevices, tidyselect, withr,
utils","Rcpp, RcppEigen","sessioninfo, concaveman, deldir, reshape2, units (>= 0.4-6),
covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"ggm","ggm","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","2.5",NA,"R (>= 3.6)","igraph, methods, graph",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"ggplot2","ggplot2","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","3.3.5",NA,"R (>= 3.3)","digest, glue, grDevices, grid, gtable (>= 0.1.1), isoband,
MASS, mgcv, rlang (>= 0.4.10), scales (>= 0.5.0), stats,
tibble, withr (>= 2.0.0)",NA,"covr, ragg, dplyr, ggplot2movies, hexbin, Hmisc, interp,
knitr, lattice, mapproj, maps, maptools, multcomp, munsell,
nlme, profvis, quantreg, RColorBrewer, rgeos, rmarkdown, rpart,
sf (>= 0.7-3), svglite (>= 1.2.0.9001), testthat (>= 2.1.0),
vdiffr (>= 1.0.0), xml2","sp","MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"ggPMX","ggPMX","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.2.3",NA,"R (>= 3.5)","data.table, yaml, R6, gtable, ggplot2 (>= 2.2.0), magrittr,
stringr, assertthat, GGally, zoo, knitr, rmarkdown, tidyr,
dplyr, purrr, readr, rlang, tibble, checkmate",NA,"testthat, xtable, vdiffr, nlmixr",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"ggpubr","ggpubr","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","0.4.0",NA,"R (>= 3.1.0), ggplot2","ggrepel, grid, ggsci, stats, utils, tidyr, purrr, dplyr (>=
0.7.1), cowplot, ggsignif, scales, gridExtra, glue, polynom,
rlang, rstatix (>= 0.6.0), tibble, magrittr",NA,"grDevices, knitr, RColorBrewer, gtable",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"ggraph","ggraph","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","2.0.5",NA,"R (>= 2.10), ggplot2 (>= 3.0.0)","Rcpp (>= 0.12.2), dplyr, ggforce (>= 0.3.1), grid, igraph (>=
1.0.0), scales, MASS, digest, gtable, ggrepel, utils, stats,
viridis, rlang, tidygraph, graphlayouts (>= 0.5.0), withr","Rcpp","network, knitr, rmarkdown, purrr, tibble, seriation, deldir,
gganimate, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"ggrepel","ggrepel","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","0.9.1",NA,"R (>= 3.0.0), ggplot2 (>= 2.2.0)","grid, Rcpp, rlang (>= 0.3.0), scales (>= 0.5.0)","Rcpp","knitr, rmarkdown, testthat, gridExtra, devtools, prettydoc,
ggbeeswarm, dplyr, magrittr, readr, stringr",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"ggridges","ggridges","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","0.5.3",NA,"R (>= 3.2)","ggplot2 (>= 3.0.0), grid (>= 3.0.0), plyr (>= 1.8.0), scales
(>= 0.4.1), withr (>= 2.1.1)",NA,"covr, dplyr, patchwork, ggplot2movies, forcats, knitr,
rmarkdown, testthat, vdiffr",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"ggsci","ggsci","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","2.9",NA,"R (>= 3.0.2)","grDevices, scales, ggplot2 (>= 2.0.0)",NA,"knitr, rmarkdown, gridExtra, reshape2",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"ggsignif","ggsignif","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","0.6.2",NA,NA,"ggplot2 (>= 3.3.3)",NA,"knitr, rmarkdown, spelling, testthat, vdiffr (>= 1.0.0)",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"ggtext","ggtext","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","0.1.1",NA,"R (>= 3.5)","ggplot2 (>= 3.3.0), grid, gridtext, rlang, scales",NA,"cowplot, dplyr, glue, knitr, rmarkdown, testthat, vdiffr",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"ggthemes","ggthemes","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","4.2.4",NA,"R (>= 3.3.0)","ggplot2 (>= 3.0.0), graphics, grid, methods, purrr, scales,
stringr, tibble",NA,"dplyr, covr, extrafont, glue, knitr, lattice, lintr, maps,
mapproj, pander, rlang, rmarkdown, spelling, testthat, tidyr,
vdiffr, withr",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"gh","gh","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.3.0",NA,NA,"cli (>= 2.0.1), gitcreds, httr (>= 1.2), ini, jsonlite",NA,"covr, knitr, mockery, rmarkdown, rprojroot, spelling,
testthat (>= 2.3.2), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"gitcreds","gitcreds","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","0.1.1",NA,NA,NA,NA,"codetools, testthat, knitr, mockery, oskeyring, rmarkdown,
withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"gld","gld","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","2.6.2",NA,NA,"stats, graphics, e1071, lmom",NA,"",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"glmnet","glmnet","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","4.1-2",NA,"R (>= 3.6.0), Matrix (>= 1.0-6)","methods, utils, foreach, shape, survival",NA,"knitr, lars, testthat, xfun, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.0"
"globals","globals","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","0.14.0",NA,"R (>= 3.1.2)","codetools",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.1.0"
"glue","glue","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.4.2",NA,"R (>= 3.2)","methods",NA,"testthat, covr, magrittr, crayon, knitr, rmarkdown, DBI,
RSQLite, R.utils, forcats, microbenchmark, rprintf, stringr,
ggplot2, dplyr, withr, vctrs (>= 0.3.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
